,code,name
0,1101,台泥
0,1102,亞泥
0,1210,大成
0,1216,統一
0,1227,佳格
0,1229,聯華
0,1301,台塑
0,1303,南亞
0,1326,台化
0,1402,遠東新
0,1434,福懋
0,1476,儒鴻
0,1477,聚陽
0,1504,東元
0,1590,亞德客-KY
0,1605,華新
0,1717,長興
0,1722,台肥
0,1802,台玻
0,2002,中鋼
0,2015,豐興
0,2027,大成鋼
0,2049,上銀
0,2059,川湖
0,2101,南港
0,2104,國際中橡
0,2105,正新
0,2201,裕隆
0,2204,中華
0,2207,和泰車
0,2227,裕日車
0,2231,為升
0,2301,光寶科
0,2303,聯電
0,2308,台達電
0,2313,華通
0,2317,鴻海
0,2324,仁寶
0,2327,國巨
0,2330,台積電
0,2337,旺宏
0,2344,華邦電
0,2345,智邦
0,2347,聯強
0,2352,佳世達
0,2353,宏碁
0,2354,鴻準
0,2356,英業達
0,2357,華碩
0,2360,致茂
0,2371,大同
0,2377,微星
0,2379,瑞昱
0,2382,廣達
0,2383,台光電
0,2385,群光
0,2395,研華
0,2404,漢唐
0,2408,南亞科
0,2409,友達
0,2412,中華電
0,2439,美律
0,2449,京元電子
0,2454,聯發科
0,2474,可成
0,2492,華新科
0,2498,宏達電
0,2542,興富發
0,2603,長榮
0,2610,華航
0,2615,萬海
0,2618,長榮航
0,2633,台灣高鐵
0,2723,美食-KY
0,2801,彰銀
0,2809,京城銀
0,2812,台中銀
0,2823,中壽
0,2834,臺企銀
0,2838,聯邦銀
0,2845,遠東銀
0,2880,華南金
0,2881,富邦金
0,2882,國泰金
0,2883,開發金
0,2884,玉山金
0,2885,元大金
0,2886,兆豐金
0,2887,台新金
0,2888,新光金
0,2889,國票金
0,2890,永豐金
0,2891,中信金
0,2892,第一金
0,2903,遠百
0,2912,統一超
0,2923,鼎固-KY
0,3008,大立光
0,3034,聯詠
0,3037,欣興
0,3044,健鼎
0,3045,台灣大
0,3105,穩懋
0,3231,緯創
0,3406,玉晶光
0,3443,創意
0,3481,群創
0,3532,台勝科
0,3702,大聯大
0,3711,日月光投控
0,4147,中裕
0,4904,遠傳
0,4938,和碩
0,4958,臻鼎-KY
0,4966,譜瑞-KY
0,5269,祥碩
0,5347,世界
0,5483,中美晶
0,5820,日盛金
0,5871,中租-KY
0,5876,上海商銀
0,5880,合庫金
0,5903,全家
0,5904,寶雅
0,6121,新普
0,6147,頎邦
0,6176,瑞儀
0,6213,聯茂
0,6239,力成
0,6274,台燿
0,6409,旭隼
0,6415,矽力-KY
0,6456,GIS-KY
0,6488,環球晶
0,6505,台塑化
0,6669,緯穎
0,8069,元太
0,8299,群聯
0,8415,大國鋼
0,8436,大江
0,8454,富邦媒
0,8464,億豐
0,9904,寶成
0,9910,豐泰
0,9914,美利達
0,9917,中保
0,9921,巨大
0,9933,中鼎
0,9941,裕融
0,9945,潤泰新
